cvsin_type_1
Start(mV):	6.000000e+02
End(mV):	6.000000e+02
Max(mV):	6.000000e+02
Min(mV):	-1.000000e+02
Freq(Hz):	6.005168e+01
Amp(mV):	2.000000e+01
Type(0-4):	0
Rate(mV/s):	1.043081e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	6.000000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
6.033211e-01	-1.330406e-06	1.224704e-01
6.010865e-01	-1.927898e-06	1.228800e-01
5.986714e-01	-2.560720e-06	1.232896e-01
5.958056e-01	-3.043925e-06	1.236992e-01
5.929636e-01	-3.514107e-06	1.241088e-01
5.897632e-01	-3.907001e-06	1.245184e-01
5.867179e-01	-4.098472e-06	1.249280e-01
5.835292e-01	-4.263721e-06	1.253376e-01
5.806088e-01	-4.254683e-06	1.257472e-01
5.776861e-01	-4.187236e-06	1.261568e-01
5.751116e-01	-3.998231e-06	1.265664e-01
5.727401e-01	-3.636615e-06	1.269760e-01
5.708408e-01	-3.207715e-06	1.273856e-01
5.692186e-01	-2.733837e-06	1.277952e-01
5.681478e-01	-2.131759e-06	1.282048e-01
5.674219e-01	-1.472606e-06	1.286144e-01
5.673129e-01	-7.421679e-07	1.290240e-01
5.674948e-01	-4.016471e-08	1.294336e-01
5.683298e-01	7.797198e-07	1.298432e-01
5.694783e-01	1.436971e-06	1.302528e-01
5.711301e-01	2.197242e-06	1.306624e-01
5.730326e-01	2.834038e-06	1.310720e-01
5.754344e-01	3.430680e-06	1.314816e-01
5.779742e-01	4.054364e-06	1.318912e-01
5.809014e-01	4.487852e-06	1.323008e-01
5.838175e-01	4.894540e-06	1.327104e-01
5.869388e-01	5.095286e-06	1.331200e-01
5.898709e-01	5.293239e-06	1.335296e-01
5.929378e-01	5.357830e-06	1.339392e-01
5.956803e-01	5.257512e-06	1.343488e-01
5.983543e-01	5.084124e-06	1.347584e-01
6.006299e-01	4.808018e-06	1.351680e-01
6.026915e-01	4.369503e-06	1.355776e-01
6.042004e-01	3.951019e-06	1.359872e-01
6.055043e-01	3.368240e-06	1.363968e-01
6.061367e-01	2.706441e-06	1.368064e-01
6.064686e-01	2.078300e-06	1.372160e-01
6.061892e-01	1.316283e-06	1.376256e-01
6.056063e-01	6.372265e-07	1.380352e-01
6.043485e-01	-2.104859e-07	1.384448e-01
6.028585e-01	-8.250427e-07	1.388544e-01
6.008579e-01	-1.549036e-06	1.392640e-01
5.985860e-01	-2.199379e-06	1.396736e-01
5.959027e-01	-2.762320e-06	1.400832e-01
5.931482e-01	-3.299053e-06	1.404928e-01
5.900483e-01	-3.674339e-06	1.409024e-01
5.870337e-01	-3.991358e-06	1.413120e-01
5.838110e-01	-4.246411e-06	1.417216e-01
5.808157e-01	-4.293643e-06	1.421312e-01
5.777775e-01	-4.255229e-06	1.425408e-01
5.750929e-01	-4.115545e-06	1.429504e-01
5.724921e-01	-3.921219e-06	1.433600e-01
5.703699e-01	-3.490929e-06	1.437696e-01
5.684875e-01	-3.075185e-06	1.441792e-01
5.671646e-01	-2.514323e-06	1.445888e-01
5.660823e-01	-1.977699e-06	1.449984e-01
5.656318e-01	-1.205807e-06	1.454080e-01
5.655426e-01	-5.534068e-07	1.458176e-01
5.660560e-01	1.917224e-07	1.462272e-01
5.668865e-01	9.763668e-07	1.466368e-01
5.683008e-01	1.722973e-06	1.470464e-01
5.700035e-01	2.433171e-06	1.474560e-01
5.721988e-01	3.082829e-06	1.478656e-01
5.745206e-01	3.633100e-06	1.482752e-01
5.773019e-01	4.213387e-06	1.486848e-01
5.801042e-01	4.602326e-06	1.490944e-01
5.832104e-01	4.995594e-06	1.495040e-01
5.861772e-01	5.153554e-06	1.499136e-01
5.892643e-01	5.318531e-06	1.503232e-01
5.921057e-01	5.299295e-06	1.507328e-01
5.949409e-01	5.188410e-06	1.511424e-01
5.973554e-01	4.886672e-06	1.515520e-01
5.996522e-01	4.707617e-06	1.519616e-01
6.014638e-01	4.182203e-06	1.523712e-01
6.029946e-01	3.788779e-06	1.527808e-01
6.040023e-01	3.081662e-06	1.531904e-01
6.046199e-01	2.545385e-06	1.536000e-01
6.047103e-01	1.810053e-06	1.540096e-01
6.043784e-01	1.062699e-06	1.544192e-01
6.034813e-01	2.946449e-07	1.548288e-01
6.022717e-01	-3.353407e-07	1.552384e-01
6.004866e-01	-1.187840e-06	1.556480e-01
5.984071e-01	-1.783610e-06	1.560576e-01
5.959228e-01	-2.454632e-06	1.564672e-01
5.932563e-01	-2.933320e-06	1.568768e-01
5.903217e-01	-3.443444e-06	1.572864e-01
5.872986e-01	-3.830866e-06	1.576960e-01
5.841491e-01	-4.056962e-06	1.581056e-01
5.810494e-01	-4.306320e-06	1.585152e-01
5.779282e-01	-4.324020e-06	1.589248e-01
5.751016e-01	-4.223334e-06	1.593344e-01
5.723606e-01	-4.093141e-06	1.597440e-01
5.700037e-01	-3.792526e-06	1.601536e-01
5.678697e-01	-3.435586e-06	1.605632e-01
5.662196e-01	-2.956592e-06	1.609728e-01
5.648640e-01	-2.365759e-06	1.613824e-01
5.641455e-01	-1.721993e-06	1.617920e-01
5.637310e-01	-1.047614e-06	1.622016e-01
5.639560e-01	-2.248797e-07	1.626112e-01
5.645041e-01	4.245562e-07	1.630208e-01
5.655771e-01	1.215886e-06	1.634304e-01
5.670270e-01	1.962915e-06	1.638400e-01
5.690037e-01	2.651977e-06	1.642496e-01
5.711287e-01	3.233026e-06	1.646592e-01
5.737389e-01	3.898234e-06	1.650688e-01
5.764506e-01	4.323534e-06	1.654784e-01
5.794425e-01	4.786407e-06	1.658880e-01
5.824237e-01	4.993071e-06	1.662976e-01
5.855113e-01	5.232333e-06	1.667072e-01
5.884968e-01	5.311552e-06	1.671168e-01
5.913951e-01	5.237768e-06	1.675264e-01
5.940045e-01	5.125493e-06	1.679360e-01
5.964936e-01	4.871094e-06	1.683456e-01
5.985462e-01	4.524961e-06	1.687552e-01
6.003641e-01	4.080350e-06	1.691648e-01
6.016177e-01	3.504096e-06	1.695744e-01
6.025489e-01	2.928468e-06	1.699840e-01
6.029121e-01	2.221695e-06	1.703936e-01
6.028998e-01	1.534586e-06	1.708032e-01
6.023168e-01	7.780785e-07	1.712128e-01
6.013502e-01	1.812229e-08	1.716224e-01
5.998339e-01	-6.952303e-07	1.720320e-01
5.980294e-01	-1.411969e-06	1.724416e-01
5.958094e-01	-1.999975e-06	1.728512e-01
5.933370e-01	-2.647020e-06	1.732608e-01
5.904804e-01	-3.151390e-06	1.736704e-01
5.875492e-01	-3.600981e-06	1.740800e-01
5.844324e-01	-3.894717e-06	1.744896e-01
5.813944e-01	-4.175085e-06	1.748992e-01
5.781910e-01	-4.330298e-06	1.753088e-01
5.752556e-01	-4.303679e-06	1.757184e-01
5.723342e-01	-4.240403e-06	1.761280e-01
5.698188e-01	-3.993951e-06	1.765376e-01
5.674249e-01	-3.703426e-06	1.769472e-01
5.655647e-01	-3.246188e-06	1.773568e-01
5.639827e-01	-2.777301e-06	1.777664e-01
5.629407e-01	-2.124448e-06	1.781760e-01
5.622275e-01	-1.513721e-06	1.785856e-01
5.621055e-01	-7.178393e-07	1.789952e-01
5.623385e-01	-9.849025e-08	1.794048e-01
5.631286e-01	7.502938e-07	1.798144e-01
5.642800e-01	1.386171e-06	1.802240e-01
5.659297e-01	2.209518e-06	1.806336e-01
5.679104e-01	2.802050e-06	1.810432e-01
5.703009e-01	3.457329e-06	1.814528e-01
5.728877e-01	4.009206e-06	1.818624e-01
5.757580e-01	4.421547e-06	1.822720e-01
5.786185e-01	4.828314e-06	1.826816e-01
5.817556e-01	5.166905e-06	1.830912e-01
5.847699e-01	5.235335e-06	1.835008e-01
5.877431e-01	5.333122e-06	1.839104e-01
5.905751e-01	5.224331e-06	1.843200e-01
5.931901e-01	5.022562e-06	1.847296e-01
5.954404e-01	4.731679e-06	1.851392e-01
5.974805e-01	4.329165e-06	1.855488e-01
5.990260e-01	3.902182e-06	1.859584e-01
6.002670e-01	3.300702e-06	1.863680e-01
6.009490e-01	2.643633e-06	1.867776e-01
6.012177e-01	1.979953e-06	1.871872e-01
6.009425e-01	1.268059e-06	1.875968e-01
6.003029e-01	5.011343e-07	1.880064e-01
5.991138e-01	-1.632588e-07	1.884160e-01
5.975922e-01	-9.496149e-07	1.888256e-01
5.955300e-01	-1.597674e-06	1.892352e-01
5.932908e-01	-2.262097e-06	1.896448e-01
5.905825e-01	-2.837328e-06	1.900544e-01
5.878425e-01	-3.295430e-06	1.904640e-01
5.847388e-01	-3.782942e-06	1.908736e-01
5.816513e-01	-4.085212e-06	1.912832e-01
5.784677e-01	-4.272031e-06	1.916928e-01
5.754483e-01	-4.349065e-06	1.921024e-01
5.724209e-01	-4.334072e-06	1.925120e-01
5.697002e-01	-4.183775e-06	1.929216e-01
5.671752e-01	-3.904768e-06	1.933312e-01
5.650634e-01	-3.546811e-06	1.937408e-01
5.631848e-01	-3.158845e-06	1.941504e-01
5.618526e-01	-2.519164e-06	1.945600e-01
5.608491e-01	-1.985547e-06	1.949696e-01
5.603814e-01	-1.264890e-06	1.953792e-01
5.603454e-01	-5.144568e-07	1.957888e-01
5.608834e-01	1.936588e-07	1.961984e-01
5.616984e-01	9.297547e-07	1.966080e-01
5.631081e-01	1.711298e-06	1.970176e-01
5.648093e-01	2.366332e-06	1.974272e-01
5.669719e-01	3.087472e-06	1.978368e-01
5.693969e-01	3.686583e-06	1.982464e-01
5.721564e-01	4.166838e-06	1.986560e-01
5.749958e-01	4.601738e-06	1.990656e-01
5.780400e-01	4.944444e-06	1.994752e-01
5.810412e-01	5.182780e-06	1.998848e-01
5.840999e-01	5.213780e-06	2.002944e-01
5.869663e-01	5.279052e-06	2.007040e-01
5.897670e-01	5.140644e-06	2.011136e-01
5.921827e-01	4.878766e-06	2.015232e-01
5.944709e-01	4.610517e-06	2.019328e-01
5.962843e-01	4.187613e-06	2.023424e-01
5.977781e-01	3.638982e-06	2.027520e-01
5.987048e-01	3.063819e-06	2.031616e-01
5.993559e-01	2.480112e-06	2.035712e-01
5.994032e-01	1.725387e-06	2.039808e-01
5.990596e-01	1.012729e-06	2.043904e-01
5.981572e-01	2.572320e-07	2.048000e-01
5.968971e-01	-4.831114e-07	2.052096e-01
5.951159e-01	-1.196974e-06	2.056192e-01
5.930660e-01	-1.844139e-06	2.060288e-01
5.905901e-01	-2.506157e-06	2.064384e-01
5.879393e-01	-3.032435e-06	2.068480e-01
5.849782e-01	-3.516952e-06	2.072576e-01
5.819734e-01	-3.827567e-06	2.076672e-01
5.787569e-01	-4.199767e-06	2.080768e-01
5.756741e-01	-4.305101e-06	2.084864e-01
5.725947e-01	-4.378018e-06	2.088960e-01
5.697538e-01	-4.252407e-06	2.093056e-01
5.670679e-01	-4.093578e-06	2.097152e-01
5.647323e-01	-3.879345e-06	2.101248e-01
5.626018e-01	-3.457071e-06	2.105344e-01
5.609875e-01	-2.945801e-06	2.109440e-01
5.596786e-01	-2.461574e-06	2.113536e-01
5.589116e-01	-1.733573e-06	2.117632e-01
5.585456e-01	-1.030069e-06	2.121728e-01
5.587153e-01	-3.345083e-07	2.125824e-01
5.592956e-01	4.384571e-07	2.129920e-01
5.604166e-01	1.224771e-06	2.134016e-01
5.618939e-01	1.952504e-06	2.138112e-01
5.638444e-01	2.666480e-06	2.142208e-01
5.660558e-01	3.259101e-06	2.146304e-01
5.686324e-01	3.845167e-06	2.150400e-01
5.713991e-01	4.336543e-06	2.154496e-01
5.743694e-01	4.702390e-06	2.158592e-01
5.773446e-01	5.027764e-06	2.162688e-01
5.804508e-01	5.190434e-06	2.166784e-01
5.833642e-01	5.302336e-06	2.170880e-01
5.863062e-01	5.263124e-06	2.174976e-01
5.888940e-01	5.020723e-06	2.179072e-01
5.913084e-01	4.819210e-06	2.183168e-01
5.933850e-01	4.450055e-06	2.187264e-01
5.951457e-01	4.004931e-06	2.191360e-01
5.964444e-01	3.477396e-06	2.195456e-01
5.973598e-01	2.854172e-06	2.199552e-01
5.976945e-01	2.162469e-06	2.203648e-01
5.976530e-01	1.466464e-06	2.207744e-01
5.970514e-01	6.787370e-07	2.211840e-01
